ability|cognition,knowledge,power,quality|inability
jumpy|bumpy,edgy,high-strung,jittery,nervy,overstrung,restive,rocky,rough,tense,uptight|smooth
junior|immature,inferior,intermediate,lowly,minor,parvenu,petty,secondary,subaltern,subordinate,upstart,young|senior
just|antitrust,barely,clean,equitable,evenhanded,exactly,fair,fair-minded,fitting,good,hardly,honorable,impartial,just,meet,merely,only,precisely,reasonable,retributive,right,righteous,rightful,scarce,scarcely,sensible,simply,sporting,sporty,upright|unjust,inequitable,unfair
justice|adjudicator,disposal,functionary,judge,judicature,jurist,justness,magistrate,official|injustice
justify|absolve,adjust,apologize,confirm,correct,defend,excuse,forgive,free,maintain,rationalize,reassert,support,uphold,vindicate,warrant|blame
justly|right,rightly|unjustly
justness|conformance,conformity,justice,nicety,rightness|injustice
juvenile|adolescent,immature,individual,jejune,mortal,person,puerile,somebody,someone,soul|adult
keep|accommodate,book,celebrate,cell,confine,continue,cook,detain,dungeon,enter,farm,fastness,grow,have,hold,keep,livelihood,living,lodge,maintain,make,move,observe,prepare,preserve,prevent,proceed,produce,prolong,protect,raise,ready,record,remain,reserve,resource,rest,restrain,retain,save,stay,store,stronghold,support,suppress,sustain,sustenance|break,discontinue,lose
kickoff|beginning,commencement,first,offset,outset,point,start|middle
king|baron,businessman,challenger,checker,chessman,clergyman,competition,competitor,contender,distinction,eminence,guitarist,magnate,mogul,monarch,note,power,preeminence,queen,reverend,rival,singer,sovereign,tycoon,vocalist,world-beater|queen
knot|bind,bunch,burl,clump,cluster,distortion,entwine,fastener,fastening,gnarl,interlace,intertwine,lace,mile,raggedness,ravel,roughness,sandpiper,tangle,twine,wood|unravel
knowingly|wittingly|unknowingly,unwittingly
lady|dame,gentlewoman,ma'am,madam,noblewoman,peeress,woman|nobleman
large|ample,astronomic,astronomical,biggish,boastfully,bombastic,bouffant,broad,bulky,capacious,colossal,conspicuous,cosmic,declamatory,deep,double,elephantine,enormous,epic,expectant,extended,extensive,full-size,galactic,gargantuan,generous,giant,gigantic,grand,gravid,great,heavy,heroic,huge,hulking,humongous,immense,important,jumbo,king-size,king-sized,large-scale,largish,life-size,life-sized,macro,magnanimous,mammoth,man-sized,massive,monolithic,monstrous,monumental,mountainous,orotund,outsize,overlarge,oversize,oversized,pregnant,prodigious,prominent,puffy,queen-size,rangy,rhetorical,significant,sizable,size,sizeable,spacious,stupendous,super,thumping,titanic,tremendous,tumid,turgid,vast,voluminous,walloping,whopping,wide|little,small
largeness|bigness,breadth,intelligence,magnitude,pretension,size|littleness,smallness
last|activity,close,closing,concluding,conclusion,death,dying,ending,endmost,endure,final,finale,finally,finis,finish,high,lastly,live,measure,parting,past,penultimate,rank,senior,sunset,survive,terminal,ultimate,unalterable,unlikely,utmost,weight,worst|intermediate,first
late|advanced,belated,belatedly,dead,deep,former,lately,later,latish,latterly,past,posthumous,previous,recent,recently,ripe,tardily,tardy|early,middle
latter|second|former
launch|actuation,begin,commence,displace,establish,found,impel,launch,motorboat,move,open,plunge,powerboat,propel,propulsion,smooth,start|abolish
laurels|accolade,award,honor,standing,symbol|dishonor
lawful|law-abiding,legal,legitimate,licit,observant,orderly,regular,rightful,square,straight|unlawful
lawfully|legally,legitimately,licitly|unlawfully,illicitly,lawlessly
lawfulness|quality|unlawfulness
lawlessly|illegally,illicitly|lawfully
layman|commoner,layperson,secular|clergyman
layperson|commoner,layman,secular|clergyman
laze|idle,slug,stagnate|work
lead|actor,advance,advantage,angle,boost,cause,chair,conduce,conduct,constraint,contribute,counsel,counselling,direct,direction,discuss,encourage,evidence,execute,extend,further,graphite,grounds,guidance,guide,have,head,hint,induce,jumper,lead,lead-in,leadership,leading,leash,leave,make,metal,moderate,move,pass,perform,place,play,player,position,precede,principal,produce,promote,restraint,result,score,section,slip,spend,star,steer,stimulate,strip,subdivision,take,tether,thespian,timing,track,trail,travel,turn,vantage,wind,wire|deficit,follow
leaded|antiknock,fixed,spaced|unleaded
leader|feature,individual,mortal,person,somebody,someone,soul|follower
leading|activity,ahead,directional,directive,lead,leadership,major,preeminent,slip,star,stellar,strip,superior|following
leafless|defoliate|leafy
leafy|ivied,leaved|leafless
leaky|drafty,drippy,holey,incontinent,oozy,permeable,porous|tight
lean|angle,anorectic,anorexic,bank,bend,bony,cadaverous,deficient,emaciated,flex,gangling,gangly,gaunt,haggard,inclination,incline,insufficient,lank,lanky,leaning,list,move,pinched,place,pose,position,rawboned,reedy,rely,scrawny,shriveled,shrunken,skeletal,skimpy,skinny,slant,slender,slight,slim,spare,spindly,stringy,svelte,swear,tend,thin,tilt,trim,trust,twiggy,underweight,unprofitable,wasted,weedy,wiry,wispy,wizened|rich
leanness|deficiency,exiguity,inadequacy,meagerness,poorness,scantiness,scantness,spareness,thinness|fatness
least|affair,matter,thing|most
leave|afford,allow,bequeath,change,depart,departure,entrust,exit,farewell,forbear,forget,gift,give,going,hand,have,impart,lead,leave-taking,lose,make,move,parting,pass,permission,present,produce,provide,reach,refrain,result,tell,will,yield|arrive,disinherit,enter
leeward|direction,downwind,face,side,upwind|windward,downwind
left|faction,hand,larboard,left-hand,left-handed,left-wing,leftist,leftmost,leftover,liberal,mitt,near,nigh,parcel,place,port,position,remaining,sect,socialist,socialistic,tract,turn,turning|center,right
left-handed|ambiguous,bumbling,bungling,ham-fisted,ham-handed,heavy-handed,illegitimate,left,left-hand,legitimate,maladroit|ambidextrous
legal|accumulation,aggregation,assemblage,collection,effectual,eligible,judicial,juristic,lawful,legitimate,licit,sound,statutory,valid|illegal
legality|lawfulness|illegality
legalize|allow,countenance,legitimate,legitimatize,legitimize,permit|outlaw
legally|lawfully|unlawfully
legato|smooth|staccato
legibility|distinctness,readability,sharpness|illegibility
legible|clean,clear,decipherable,fair,readable|illegible
legitimacy|authenticity,credibility,genuineness,lawfulness|illegitimacy
legitimate|allow,alter,change,countenance,justify,lawful,left-handed,legal,legalize,legitimatize,legitimize,licit,logical,modify,permit,rightful,true,valid,vindicate|illegitimate,outlaw
legitimately|lawfully,licitly|illicitly,lawlessly
legitimatize|allow,countenance,legalize,legitimate,legitimize,permit|outlaw
legitimize|allow,countenance,legalize,legitimate,legitimatize,permit|outlaw
lend|alter,bestow,bring,change,contribute,give,impart,loan,modify|borrow
lender|investor,loaner|borrower
lengthen|grow,increase|shorten
lengthways|axial,fore-and-aft,lengthwise,linear,longitudinal,longways,running|crosswise
lengthwise|axial,fore-and-aft,lengthways,linear,longitudinal,longways,running|crosswise
liberate|discharge,emancipate,free,loose,release,turn,unloose,unloosen|confine
liberator|benefactor,helper|captor
licit|lawful,legal,legitimate|illicit
licitly|lawfully,legitimately|illicitly,lawlessly
licking|beating,conclusion,defeat,drubbing,ending,failure,finish,thrashing|victory
lidless|alert,sleepless,topless|lidded
lifelessness|state,stillness|motion
lift|abstract,actuation,airlift,alter,ameliorate,amend,annul,appear,arise,ascension,ascent,assist,assistance,better,buckle,cabbage,call,cancel,change,conveyance,countermand,device,displace,drive,elevate,elevation,elevator,emit,facelift,filch,heave,help,hoist,hook,improve,layer,lift,liquidate,look,meliorate,modify,move,operate,overturn,pilfer,pinch,plagiarize,propulsion,purloin,raise,rear,remove,repeal,rescind,reverse,revoke,ride,rise,rising,rustle,scalp,seem,sneak,steal,swipe,take,terminate,transfer,transport,travel,utter,vacate,warp,wave,wind,withdraw|lower,fall
light|ablaze,abstemious,airy,alight,aspect,brainstorm,bright,brightness,buoyant,burn,casual,clean,clear,condition,deficient,descend,device,devolve,digestible,dismount,easy,ethics,expression,face,faint,fall,fat-free,flimsy,floodlit,fluorescent,friable,friend,frivolous,gentle,idle,ignite,illuminate,illuminated,illuminating,illumination,illumine,incandescent,inflamed,insight,insufficient,land,light,light-footed,lighten,lighter,lightheaded,lighting,lightly,lightness,lite,livid,look,loose,low-cal,luminescent,luminosity,morality,morals,nonfat,pale,pass,pastel,perch,perspective,position,powdery,promiscuous,pure,return,sandy,scant,scene,shallow,short,sick,sluttish,soft,spark,sparkle,status,sunlit,temperate,thin,twinkle,unaccented,unchaste,unclouded,undemanding,unhorse,unimportant,unstressed,verve,view,vitality,wakeful,wanton,weak,white|dark,heavy,extinguish
lighten|alter,brighten,change,cheer,mitigate,modify,relieve,unburden|darken
lighting|apparatus,burning,combustion,ignition,illumination,inflammation,kindling,light,setup|dark
lightly|gently,light,softly,thinly|heavily,thickly
lightness|agility,elation,giddiness,gracefulness,joyfulness,joyousness,light,nimbleness,silliness,value,weight|darkness,heaviness
likelihood|likeliness,probability|unlikeliness,unlikelihood
likeliness|likelihood,probability|unlikeliness,unlikelihood
likeness|icon,ikon,image,picture,semblance,similarity,similitude|unlikeness
limpidity|clarity,clearness,lucidity,lucidness,transparency|obscurity
linear|additive,analog,analogue,elongate,lengthways,lengthwise,lineal,rectilinear,running,simple|cubic
liquid|clear,consonant,disposable,fluent,fluid,fusible,graceful,limpid,liquidity,molten,musical,runny,smooth,state,swimming,tearful,unfrozen,watery|gaseous,solid
little|bantam,bitty,brief,diminutive,dinky,dwarfish,elfin,emotional,flyspeck,gnomish,immature,itsy-bitsy,itty-bitty,less,lesser,lilliputian,lowercase,microscopic,midget,miniature,miniscule,minuscule,minute,niggling,petite,petty,picayune,piddling,piffling,puny,runty,short,slender,slight,slim,small,small-scale,smallish,soft,teensy,teeny,teeny-weeny,tiny,trivial,undersized,unimportant,weensy,weeny,young|large
littleness|closeness,meanness,parsimony,pettiness,size,smallness,tightness,weakness|bigness,largeness
lively|active,alert,alive,animated,bouncing,bouncy,breezy,brisk,bubbly,effervescent,effusive,elastic,energetic,eventful,gushing,live,merry,peppy,racy,rattling,resilient,snappy,spanking,spirited,springy,vital,warm,zippy|dull
liven|animate,arouse,brace,energize,enliven,invigorate,stimulate|deaden
living|absolute,aliveness,animation,being,existence,experience,extant,keep,life,live,livelihood,people,realistic,resource,support,sustenance|dead
loan|debt,give,lend,loanword,word|borrow
loaner|auto,automobile,investor,lender,machine,motorcar|borrower
local|anaesthetic,anesthetic,localized,section,topical|general,national,express
location|activity,emplacement,finding,localization,object,placement,position,work,workplace|studio
lock|bosom,build,confine,constraint,construct,curl,displace,embrace,enclosure,engage,fasten,fastener,fastening,hair,hold,interlace,interlock,make,mechanism,mesh,move,operate,overcome,overpower,overtake,overwhelm,pass,restraint,ringlet,secure,squeeze,whelm,whorl|unlock
long|abundant,all-night,aware,desire,drawn-out,durable,elongate,elongated,endless,eternal,extendable,extended,extendible,farseeing,farsighted,foresighted,hanker,interminable,lank,lasting,lengthy,lifelong,long-lasting,long-lived,long-range,long-term,longish,longitudinal,longstanding,mindful,nightlong,oblong,overnight,perennial,polysyllabic,prolonged,protracted,provident,retentive,stretch,tall,tenacious,unsound,want,yearlong,yearn|short
look|agree,ambiance,ambience,appear,appearance,aspect,atmosphere,attend,await,bank,calculate,care,check,convey,correspond,count,countenance,depend,examine,expect,expression,face,feel,feeling,flavor,front,gibe,impart,jibe,match,perception,reckon,rely,search,seem,smell,spirit,swear,tally,tone,trust,visage,wait|back
loop|bind,camp,circle,circuit,circulate,clique,coil,coterie,curl,entwine,eyelet,fastener,fastening,fingerprint,grommet,intertwine,iteration,knit,pack,process,program,roll,twine,wind,wrap|uncoil
lord|ennoble,entitle,gentle,master,noble,nobleman,overlord,ruler|noblewoman
lose|decline,mislay,misplace,miss,place,pose,position,recede,regress,retrograde,retrogress,suffer,worsen|profit
lost|baffled,befuddled,bemused,bewildered,confiscate,confounded,confused,cursed,damned,disoriented,doomed,forfeit,forgotten,gone,helpless,hopeless,lost,mislaid,misplaced,missing,mixed-up,people,perplexed,preoccupied,thoughtful,unregenerate,unsaved,wasted|found
loud|aloud,audible,brassy,cheap,clarion,colorful,deafening,earsplitting,earthshaking,flash,flashy,forte,fortissimo,garish,gaudy,gimcrack,loudly,meretricious,noisy,roaring,shattering,tacky,tasteless,tawdry,thunderous,trashy,vocal|soft,piano,softly
loudly|aloud,forte,loud|piano,softly
loudness|brashness,flashiness,garishness,gaudiness,glitz,intensity,tawdriness,volume|softness
lovable|adorable,amicable,angelic,angelical,cherubic,cuddly,desirable,endearing,loveable,lovely,loving,seraphic,sweet|hateful
love|bang,beloved,copulate,couple,dear,emotion,enjoy,honey,hump,jazz,know,like,love,lovemaking,lover,mate,object,pair,passion,score,screw|hate
loveable|adorable,amicable,angelic,angelical,cherubic,cuddly,desirable,endearing,lovable,lovely,loving,seraphic,sweet|hateful
lower-class|blue-collar,lowborn,proletarian|middle-class,upper-class
lucidity|clarity,clearness,limpidity,lucidness,saneness,sanity|obscurity
lucidness|clarity,clearness,limpidity,lucidity|obscurity
luckily|fortuitously,fortunately|unluckily
luckiness|destiny,fate,fortune,luck,portion|misfortune
magnetize|alter,bewitch,change,charm,influence,mesmerize,modify,spellbind,tempt|demagnetize
malady|condition,illness,sickness,status|wellness
male|animal,beast,brute,creature,fauna,individual,male,manful,manlike,manly,masculine,mortal,person,phallic,priapic,somebody,someone,soul,virile|female,androgynous
malignancy|disease,evil,evilness,malignity|benignity
malignity|evil,evilness,hate,hatred,malevolence,malignancy|benignity
manful|doughty,hardy,male,man-sized,manlike,manly,masculine,virile|unmanly
manipulable|compliant,docile,ductile,malleable,manageable,obedient,tamable,tame,tameable,teachable,tractable|intractable
manlike|anthropoid,doughty,hardy,human,male,man-sized,manful,manly,masculine,virile|unmanly
manly|doughty,hardy,male,man-sized,manful,manfully,manlike,masculine,virile|unmanly
manual|blue-collar,drill,exercise,extremity,handbook,practice,recitation|automatic
many-sided|bilateral,bipartite,colorful,joint,multifaceted,multifarious,multilateral,triangular,trilateral,tripartite,two-sided,two-way,varied|unilateral
masculine|accented,butch,gender,macho,male,manful,manlike,manly,mannish,masculine,stressed,virile|feminine,neuter
maxi|skirt|mini,midi
maximal|maximum,supreme|minimum,minimal
maximize|exploit,increase|minimize
maximum|bound,boundary,limit,maximal,peak,supreme,utmost,uttermost|minimum,minimal
meagerly|bare,deficient,exiguous,hardscrabble,insufficient,marginal,meager,measly,miserable,paltry,scanty,scarce,spare,sparingly,stingy|amply
meet|adjoin,agree,assemble,athletics,cater,check,contact,contend,converge,cope,correspond,deal,encounter,experience,fill,fitting,forgather,fulfil,fulfill,gather,gibe,grapple,have,interact,jibe,just,manage,match,meet,play,provide,receive,satisfy,suffer,supply,tally,touch,undergo|diverge
member|appendage,associate,component,extremity,part,penis,phallus,portion,unit|nonmember
mend|ameliorate,amend,better,bushel,darn,doctor,fixture,heal,improve,improvement,meliorate,mending,patch,repair,reparation,restore,sewing,stitchery|break
mendaciously|untruthfully|truthfully
mensurable|measurable|immeasurable
mental|cognition,feature,genial,intellectual,knowledge,lineament,moral,psychic,psychical,psychogenic,rational,unhealthy|physical
merciful|clement,gracious,humane,kind,soft|merciless
middle|area,center,central,country,division,halfway,heart,in-between,intermediate,intervening,mediate,midriff,midsection,midway,part,place,point,pose,position,region,section|late,early,beginning
middle-class|bourgeois,conservative|upper-class,lower-class
middling|average,commodity,fair,fairly,good,mediocre,moderately,ordinary,passably,reasonably,somewhat|immoderately,unreasonably
midi|protocol|maxi,mini
militarize|alter,change,modify|demilitarize
mineral|inorganic,material,petrified,stuff|animal,vegetable
mini|miniskirt,skirt|midi,maxi
minimal|borderline,marginal,minimum,negligible,nominal,token|maximum,maximal
minimize|belittle,decrease,denigrate,derogate,disparage,downplay,inform,lessen,understate|maximize
minimum|borderline,limit,marginal,minimal,negligible,nominal,peak,token|maximum,maximal
minor|child,junior,juvenile,limited,modest,nestling,nipper,pardonable,peanut,secondary,shaver,small,small-scale,tike,tyke,underage,venial,youngster|major
minority|figure,nonage,number|majority
minus|harmful,negative,subtraction|plus
minuscule|character,cursive,little,longhand,lowercase,miniscule,small|uppercase
mirthfully|blithely,gayly,happily,jubilantly,merrily|unhappily
misbehave|misconduct,move|behave
miscarry|abort,fail|succeed
mistrust|disbelieve,discredit,distrust,doubt,doubtfulness,dubiety,dubiousness,incertitude,misgiving,suspect,suspicion,trait,uncertainty|trust
mobilize|call,circulate,collect,displace,garner,gather,marshal,militarize,move,rally,summon|demobilize
moderately|fairly,middling,passably,reasonably,somewhat|immoderately,unreasonably
moisturize|dampen,humidify,moisten,wash|dehumidify
molar|grinder,tooth|molecular
molecular|unit|molar
monody|music|polyphony
moral|chaste,clean,ethical,good,honorable,import,lesson,meaning,mental,moralistic,motivation,motive,need,right,righteous,significance,virtuous|immoral,amoral
mother|abbess,beget,care,create,engender,father,fuss,generate,inspiration,make,overprotect,parent,prioress,sire,yeast|father
move|actuate,advise,affect,alter,cause,change,conclusion,decision,displace,impress,incite,live,make,motility,motion,motivate,move,movement,play,proceed,prompt,propel,propose,relocation,sell,strike,suggest,travel,turn,vary|stay,refrain,rest
moving|affecting,afoot,agitated,animated,automotive,blown,emotional,flowing,flying,haunting,heartwarming,impressive,itinerant,kinetic,mobile,oncoming,poignant,restless,riding,road,rolling,running,soaring,stimulating,stirring,touching,traveling,tumbling,vibratory,wiggly,wriggly|still
much|more,often,overmuch,practically,some,such,untold|little
multilateral|bilateral,bipartite,joint,many-sided,triangular,trilateral,tripartite,two-sided,two-way|unilateral
multilingual|bilingual,polyglot|monolingual
multiple|aggregate,binary,double,dual,duple,duplex,fourfold,manifold,multiplex,product,quadruple,quintuple,sixfold,tenfold,ternary,threefold,treble,triple,triplex,twofold|single
multiply|breed,calculate,cipher,compute,create,figure,increase,make,manifold,multiply,procreate,reckon,reproduce|singly,divide
narrow|alter,bare,careful,change,constrict,constrictive,contract,determine,dogmatic,illiberal,intolerant,limited,marginal,minute,narrow,opinionated,petty,slender,small-minded,sound,specialize,specify,strait,tapered,thin,tighten,vary|diversify
natural|achiever,biological,born,cancel,cast,earthy,innate,instinctive,intelligent,lifelike,natural,normal,physical,roll,rude,spontaneous,success,unaffected,unbleached,uncolored,unprocessed,winner|sharp,flat
naturally|course|unnaturally
nearsighted|myopic,shortsighted|farsighted
neatness|cleanliness,spruceness,tidiness|untidiness
necessary|essential,incumbent,inevitable,necessity,needful,obligatory,requirement,requisite,thing|unnecessary,inessential
negative|antagonistic,blackball,contradict,controvert,counter,damaging,denial,destructive,disinclined,dismissive,dissident,film,harmful,minus,oppose,perverse,pessimistic,unfavorable,veto|neutral,positive
negativeness|amount,negativism,negativity,polarity,quality,sign|positiveness
negativism|negativeness,negativity,quality|positiveness
negativity|amount,inclination,negativeness,negativism,polarity,quality,sign,tendency|positiveness
neuter|alter,asexual,castrate,gender,nonsexual,sexless,spay,sterilize|masculine,feminine
neutral|achromatic,amoral,colorless,impersonal,indifferent,individual,inert,mortal,nonaligned,objective,person,somebody,someone,soul,unmoral|positive,negative
noble|aristocratic,august,baronial,blue,blue-blooded,exalted,gentle,grand,greathearted,high-flown,high-minded,highborn,honorable,idealistic,imperial,imposing,impressive,kingly,lofty,lordly,magnanimous,majestic,monarchical,nobleman,patrician,princely,purple,queenly,rarefied,regal,royal,stately,sublime,titled|noblewoman
nobleman|noble|noblewoman
noblewoman|peeress|nobleman
noisy|abuzz,blatant,cacophonous,clamorous,clangorous,colorful,creaky,crying,loud,reedy,rip-roaring,stertorous,strident,uproarious,vociferous,wheezy|quiet
nominal|formal,minimal,minimum,nominative,phrase,titular,token|real
nominative|appointed,appointive,case,nominal|oblique
nonabsorbent|repellent,resistant|absorbent
nonage|minority|majority
nondrinker|abstainer,abstinent,individual,mortal,person,somebody,someone,soul|drinker
nonentity|cipher,commoner,nobody,nonexistence,nothing,thing|existence
nonessential|incidental,inessential,thing,unessential|essential
nonexempt|dutiable,liable,nonexempt,subject,taxable,taxpaying,unexcused|exempt,nontaxable
nonexistence|nonentity|existence
nonexistent|absent,extinct,lacking,missing,wanting|existent
nonfat|fat-free,light,lite,low-cal,skim|fatty
nonfatal|nonlethal|fatal
nonfictional|prose|fictional
nonliving|dead,inanimate|animate
nonmember|individual,mortal,person,somebody,someone,soul|member
nonmetal|element,nonmetallic|metallic
nonmetallic|nonmetal|metallic
nonmigratory|resident|migratory
nonnative|foreign,strange|native
nonpartisan|bipartisan,independent,individual,mortal,person,somebody,someone,soul,two-way,unbiased|partisan
nonpayment|commerce,default,evasion,failure,mercantilism|payment
nonpolitical|apolitical,unpolitical|political
nonresident|individual,mortal,person,somebody,someone,soul|resident
nontaxable|duty-free,exempt,tax-exempt,tax-free|taxable
nontoxic|comestible,eatable,edible,harmless,nonpoisonous,nonvenomous|toxic
objectify|alter,change,externalize,modify|personalize
oblique|abdominal,bias,case,catercorner,catty-corner,convergent,devious,diagonal,divergent,inclined,indirect,kitty-corner,nonparallel,sideways|parallel
offense|anger,behavior,choler,conduct,crime,discourtesy,doings,infraction,infringement,misdemeanor,offensive,operation,squad,team,umbrage,violation|defense
offset|balance,beginning,branch,cancel,commencement,compensation,consequence,construction,countervail,create,effect,event,first,impress,issue,kickoff,make,offshoot,outcome,outgrowth,outset,point,print,printing,result,runner,start,stolon,structure,transfer,upshot|middle
often|frequently,much,oftentimes,ofttimes|rarely,infrequently
oftentimes|frequently,often,ofttimes|rarely,infrequently
ofttimes|frequently,often,oftentimes|rarely,infrequently
okay|alright,approve,authorize,clear,countenance,endorsement,fine,hunky-dory,imprimatur,pass,sanction,satisfactory,warrant|disapprove
omit|drop,eliminate,except,exclude,miss,neglect,overlook|include
one-sided|biased,colored,partial,unfair,unilateral|reversible,multilateral
onshore|inshore,land,seaward|offshore
opacity|opaqueness,quality|clarity,transparency
opaque|cloudy,foggy,frosted,lightproof,milky,muddy,murky,solid,turbid,unclear,whitish|clear
opaqueness|opacity,quality|clarity
open|active,afford,agape,ajar,area,arise,artless,assailable,available,bald,barefaced,candid,capable,clear,coarse,commence,country,display,exhibit,explicit,expose,exposed,exterior,gaping,give,harsh,hospitable,ingenuous,loose,move,naked,nonunion,open,out-of-doors,outdoors,outside,overt,public,receptive,spread,start,subject,surface,susceptible,tournament,tourney,turn,unconcealed,undecided,undefended,undetermined,undisguised,undo,unenclosed,unfold,unobstructed,unprotected,unresolved,unrestricted,unsealed,unsettled,visible,vulnerable,wide,wide-eyed,wide-open,yield|closed,covert,shut,close,fold
opening|alternative,artefact,artifact,beginning,ceremonial,ceremony,chance,choice,commencement,entrance,entree,entry,entryway,first,hatchway,inaugural,initiative,initiatory,introduction,introductory,maiden,motility,motion,move,movement,observance,opportunity,option,orifice,passage,passageway,possibility,scuttle,sequence,space,start,succession|closing
openness|nakedness,receptivity,sociability,spacing,willingness|closeness
operable|functional,operational,practicable,practical,serviceable,usable,useable|inoperable
operate|control,direct,displace,engage,function,happen,lock,maneuver,manipulate,mesh,move,occur,pass,treat,work|disengage,malfunction
operative|agent,detective,effective,functional,good,important,operational,preoperative,running,significant,surgical,working|inoperative,medical
opportune|advantageous,good,right,ripe,seasonable,timely,well-timed|inopportune
opposed|anti,conflicting,opposing|unopposed
opposite|antonym,contestant,contrary,diametric,diametrical,different,face-to-face,inverse,opponent,opposition,other,polar,reverse,word|alternate,synonym
opprobrium|disgrace,dishonor,ignominy,infamy,obloquy,shame|fame
optimism|disposition,hope,temperament|pessimism
optimist|individual,mortal,person,somebody,someone,soul|pessimist
optimistic|affirmative,bullish,cheerful,hopeful,positive,rose-colored,rosy,sanguine,starry-eyed,upbeat|pessimistic
order|arrange,arrangement,association,bespeak,bidding,club,command,condition,consecrate,decide,decree,determine,dictate,dictation,edict,enactment,enjoin,enthrone,evaluate,fiat,gild,govern,grade,guild,idiom,impose,inflict,invest,judge,lodge,magnitude,ordain,orderliness,ordinate,ordination,organization,organize,place,position,prescribe,prescript,quest,range,rank,rate,regularize,regulate,request,rule,sect,society,state,status,tell,vest,visit|disorder
orderliness|condition,order,regularity,status|disorder
organize|arrange,care,coordinate,create,deal,devise,direct,engineer,form,handle,initiate,join,machinate,make,manage,mastermind,orchestrate,pioneer,plan,prepare,unionize|disorganize
orientate|decide,determine,orient|disorient
original|archetype,avant-garde,creation,creative,daring,example,first,freehand,fresh,germinal,innovative,master,model,newfangled,novel,pilot,primary,seminal|unoriginal
orthodox|canonical,conformist,conservative,conventional,monotheism,standard,traditional,unreformed|unorthodox
other|another,different,early,else,former,opposite,otherwise,past,separate,strange,unusual|same
outdoors|alfresco,exterior,open,out-of-doors,outside|indoors,inside
outflow|discharge,effluence,escape,flow,formation,fountain,leak,leakage,outpouring,spring|influx,inflow
outgoing|effluent,extroverted,forthcoming,outbound,outward,past,preceding,retiring,sociable|incoming
outlaw|criminal,crook,disallow,felon,forbid,illegal,illegitimate,illicit,interdict,lawless,malefactor,offender,prohibit,proscribe,unlawful,veto,wrongdoer|legalize
outlay|defrayal,disbursal,disbursement,expenditure,outgo,payment,spending|income
out-of-door|alfresco,exterior,open-air,outdoor,outdoorsy,outside|indoor
outpatient|patient|inpatient
outset|beginning,commencement,first,kickoff,offset,point,start|middle
outside|alfresco,away,exterior,external,extramural,extraneous,extrinsic,foreign,inaccurate,open-air,out-of-door,outdoor,outdoors,outdoorsy,outer,part,region,remote,right,surface,unlikely|inside,indoors,indoor
outward|external,outbound,outer,outgoing,outwards,superficial|inward
outwardly|externally|inwardly
outwards|outward|inward
outwear|exceed,fatigue,jade,outdo,outgo,outmatch,outperform,outstrip,surmount,surpass,tire,wear,weary|refresh
overact|overplay,play,playact|underact
overarm|overhand,overhanded|underhand
overbid|bidding,call,offer,tender|underbid
overcharge|charge,cheat,chisel,fleece,hook,lade,laden,load,overload,pluck,plume,soak,surcharge|undercharge
overestimate|appraisal,estimate,estimation,idea,misjudge,overrate,overvalue,value|undervalue
overhead|ceiling,disbursal,disbursement,elevated,expense,foil,return,smash,transparency|surface,subsurface
overvalue|overestimate,value|undervalue
oviparous|broody|viviparous
paranormal|clairvoyant,extrasensory,paranormal,psychic,psychical,telepathic,unnatural|sensory,normal
parasite|being,follower,leech,organism,sponge,sponger|host
pardonable|excusable,forgivable,minor,venial|unpardonable
pardonably|excusably|unpardonably,unforgivably,inexcusably
parent|nurture,raise,rear|child
parental|maternal,paternal|filial
part|assets,attempt,break,change,character,component,concept,conception,concern,construct,contribution,depart,displace,disunite,divide,division,duty,effort,enactment,endeavor,function,leave,line,location,melody,move,object,office,partially,parting,partly,percentage,persona,piece,portion,portrayal,region,relation,role,section,separate,share,split,start,strain,thing,tune,voice|wholly
partial|biased,colored,derivative,differential,fond,harmonic,inclined,incomplete,one-sided,overtone,unfair,unjust|impartial
partiality|disposition,fancy,fondness,inclination,liking,partisanship,tendency|impartiality
partially|part,partly|wholly
particular|careful,component,detail,especial,exceptional,fact,fastidious,finicky,fussy,item,part,peculiar,picky,portion,primary,proposition,special,specific,uncommon|general
partisan|admirer,advocate,booster,champion,enthusiast,exponent,friend,pike,proponent,protagonist,sectarian,supporter,tendentious,zealot|nonpartisan
partisanship|disposition,inclination,partiality,tendency|impartiality
partly|part,partially|wholly
passably|fairly,middling,moderately,reasonably,somewhat|immoderately,unreasonably
past|ancient,bygone,departed,early,erstwhile,foregone,former,gone,historic,historical,knightly,last,late,medieval,olden,onetime,other,outgoing,period,preceding,prehistoric,previous,quondam,recent,retiring,sometime,tense,then,time,ultimo,yesteryear,yore|present,future
patrician|adult,aristocrat,aristocratic,blue,blue-blooded,gentle,grownup,leader,noble|plebeian,proletarian
patronize|condescend,foster,frequent,interact,nurture,patronage,shop,sponsor,support|boycott
peel|chip,disrobe,flake,pare,politician,politico,rind,skin,strip,unclothe,undress|dress
peeress|noblewoman|nobleman
penitent|ashamed,contrite,penitential,regretful,remorseful,repentant,rueful,sorry|unrepentant,impenitent
perennial|continual,flora,long,plant,recurrent,repeated|annual,biennial
permanence|duration,length,permanency|impermanence
permanency|duration,length,permanence|impermanence
permanent|abiding,ageless,enduring,eternal,everlasting,imperishable,indissoluble,ineradicable,irreversible,lasting,perm,perpetual,stable,standing,unceasing,unchangeable,unending,wave|impermanent
permeable|leaky,porous|impermeable
